Equipo_Local,Equipo_Visitante,Goles_Local,Goles_Visitante,Resultado,Competición
ALBACETE,ALMERIA,2,1,1,Segunda
ALBACETE,BURGOS,2,0,1,Segunda
ALBACETE,CADIZ,3,0,1,Segunda
ALBACETE,CARTAGENA,3,1,1,Segunda
ALBACETE,CASTELLON,0,0,0,Segunda
ALBACETE,CORDOBA,1,1,0,Segunda
ALBACETE,DEPORTIVO,2,5,-1,Segunda
ALBACETE,EIBAR,0,1,-1,Segunda
ALBACETE,ELCHE,1,0,1,Segunda
ALBACETE,ELDENSE,0,1,-1,Segunda
ALBACETE,GRANADA,0,2,-1,Segunda
ALBACETE,HUESCA,3,2,1,Segunda
ALBACETE,LEVANTE,0,0,0,Segunda
ALBACETE,MALAGA,2,0,1,Segunda
ALBACETE,MIRANDES,3,2,1,Segunda
ALBACETE,OVIEDO,2,2,0,Segunda
ALBACETE,FERROL,2,0,1,Segunda
ALBACETE,RACING,2,2,0,Segunda
ALBACETE,SPORTING,3,3,0,Segunda
ALBACETE,TENERIFE,2,1,1,Segunda
ALBACETE,ZARAGOZA,2,1,1,Segunda
ALMERIA,ALBACETE,3,1,1,Segunda
ALMERIA,BURGOS,2,0,1,Segunda
ALMERIA,CADIZ,1,1,0,Segunda
ALMERIA,CARTAGENA,2,1,1,Segunda
ALMERIA,CASTELLON,2,5,-1,Segunda
ALMERIA,CORDOBA,4,0,1,Segunda
ALMERIA,DEPORTIVO,2,1,1,Segunda
ALMERIA,EIBAR,2,2,0,Segunda
ALMERIA,ELCHE,1,1,0,Segunda
ALMERIA,ELDENSE,5,0,1,Segunda
ALMERIA,GRANADA,2,1,1,Segunda
ALMERIA,HUESCA,0,0,0,Segunda
ALMERIA,LEVANTE,1,0,1,Segunda
ALMERIA,MALAGA,2,2,0,Segunda
ALMERIA,MIRANDES,1,0,1,Segunda
ALMERIA,OVIEDO,1,1,0,Segunda
ALMERIA,FERROL,2,1,1,Segunda
ALMERIA,RACING,2,0,1,Segunda
ALMERIA,SPORTING,1,1,0,Segunda
ALMERIA,TENERIFE,2,0,1,Segunda
ALMERIA,ZARAGOZA,4,1,1,Segunda
BURGOS,ALBACETE,1,0,1,Segunda
BURGOS,ALMERIA,3,1,1,Segunda
BURGOS,CADIZ,2,2,0,Segunda
BURGOS,CARTAGENA,3,1,1,Segunda
BURGOS,CASTELLON,0,2,-1,Segunda
BURGOS,CORDOBA,3,2,1,Segunda
BURGOS,DEPORTIVO,0,1,-1,Segunda
BURGOS,EIBAR,1,0,1,Segunda
BURGOS,ELCHE,0,1,-1,Segunda
BURGOS,ELDENSE,1,0,1,Segunda
BURGOS,GRANADA,2,2,0,Segunda
BURGOS,HUESCA,2,1,1,Segunda
BURGOS,LEVANTE,2,3,-1,Segunda
BURGOS,MALAGA,0,0,0,Segunda
BURGOS,MIRANDES,0,1,-1,Segunda
BURGOS,OVIEDO,1,2,-1,Segunda
BURGOS,FERROL,1,1,0,Segunda
BURGOS,RACING,2,1,1,Segunda
BURGOS,SPORTING,0,2,-1,Segunda
BURGOS,TENERIFE,1,0,1,Segunda
BURGOS,ZARAGOZA,1,0,1,Segunda
CADIZ,ALBACETE,1,0,1,Segunda
CADIZ,ALMERIA,2,1,1,Segunda
CADIZ,BURGOS,1,1,0,Segunda
CADIZ,CARTAGENA,5,2,1,Segunda
CADIZ,CASTELLON,0,0,0,Segunda
CADIZ,CORDOBA,2,0,1,Segunda
CADIZ,DEPORTIVO,2,4,-1,Segunda
CADIZ,EIBAR,0,0,0,Segunda
CADIZ,ELCHE,0,1,-1,Segunda
CADIZ,ELDENSE,1,2,-1,Segunda
CADIZ,GRANADA,1,0,1,Segunda
CADIZ,HUESCA,4,0,1,Segunda
CADIZ,LEVANTE,0,0,0,Segunda
CADIZ,MALAGA,2,2,0,Segunda
CADIZ,MIRANDES,3,1,1,Segunda
CADIZ,OVIEDO,2,0,1,Segunda
